Id tin,Tiêu đề tin,Địa điểm tuyển dụng,Tỉnh thành tuyển dụng,Chức vụ,Mức lương,Hình thức làm việc,Ngành nghề,Lĩnh vực,Kinh nghiệm
784544,Nhân viên SEO,47 Đường 12 Hiệp Bình Phước Thủ Đức Thành Phố Hồ Chí Minh,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,Marketing - PR,seo leader,0 - 1 năm kinh nghiệm
784543,Nhân viên IT Helpdesk,46 An Dương - Phường Yên Phụ - Quận Tây Hồ - Thành phố Hà Nội,Hà Nội,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"IT Phần cứng - mạng, Điện - Điện tử, Điện tử viễn thông",nhân viên it phần cứng,2 - 5 năm kinh nghiệm
784542,Kỹ sư Cơ điện,"Tại VP Công ty Cổ phần Him Lam - 234 Ngô Tất Tố, Phường 22, Quận Bình Thạnh, Tp. Hồ Chí Minh",Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Cơ khí - Chế tạo, Điện - Điện tử",nhân viên it phần cứng,0 - 1 năm kinh nghiệm
784541,KỸ SƯ KẾT CẤU THÉP XÂY DỰNG,"Tại VP Công ty Cổ phần Him Lam - 234 Ngô Tất Tố, Phường 22, Quận Bình Thạnh, Tp. Hồ Chí Minh.",Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Kiến trúc - Tk nội thất, Xây dựng",nhân viên it phần cứng,1 - 2 năm kinh nghiệm
784540,Quản Lý Kinh Doanh,Đường số 14 Phường Bình An Quận 2,Hồ Chí Minh,Quản lý cấp trung,Thỏa thuận,Toàn thời gian cố định,Quản trị kinh doanh,business manager,2 - 5 năm kinh nghiệm
784539,Chuyên viên Leader Content Marketing,Phòng 0909 Tầng 9 Tòa HPC Landmark Tố Hữu-La Khê-Hà Đông-Hà Nội,Hà Nội,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Marketing - PR, Biên - Phiên dịch, Ngành nghề khác",Content Marketing,1 - 2 năm kinh nghiệm
784538,Nhân viên Sales Representative nhóm hàng Rượu vang nhập khẩu các nước,3,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Công nghệ thực phẩm, Xuất - nhập khẩu, Nhân viên kinh doanh",Nhân Viên Kinh Doanh Xuất Nhập Khẩu,Không yêu cầu
784537,Frontend Developer - Upto 20mil,"Lầu 4, tòa nhà SCSC, 30 Phan Thúc Duyện, phường 4, quận Tân Bình, TP. HCM.",Hồ Chí Minh,Nhân viên,15 - 20 triệu,Toàn thời gian cố định,"IT Phần cứng - mạng, IT phần mềm",lập trình Web,1 - 2 năm kinh nghiệm
784536,Nhân viên Sales Admin,"18H Cộng Hoà, P.4, Q.Tân Bình, TPHCM.",Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Hành chính - Văn phòng, Thư ký - Trợ lý, Nhân viên kinh doanh",Trợ Lý Văn Phòng,1 - 2 năm kinh nghiệm
784535,NHÂN VIÊN SALE BẤT ĐỘNG SẢN (LƯƠNG CAO),71 Nguyễn Chí Thanh,Hà Nội,Nhân viên,15 - 20 triệu,Khác,KD bất động sản,nhân viên tư vấn bất động sản,Không yêu cầu
784534,Nhân viên IT,Đường số 9 KCN Long Thành,Đồng Nai,Nhân viên,Thỏa thuận,Toàn thời gian cố định,"Hành chính - Văn phòng, Truyền thông, Tiếp thị - Quảng cáo",nhân viên kinh doanh truyền thông,1 - 2 năm kinh nghiệm
784533,nhân viên thu mua(đi làm ngay),kcn tân kim mở rộng thị trấn cần giuộc tỉnh long an,Long An,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Cơ khí - Chế tạo, Sản xuất - Vận hành sản xuất, Hành chính - Văn phòng",nhân viên văn phòng,Không yêu cầu
784532,Kế Toán Sản Xuất Kho,Đường số 12-Trần Não Phường Bình An Quận 2,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Kế toán - Kiểm toán,kế toán kho,2 - 5 năm kinh nghiệm
784531,Nhân Viên Kiểm Tra Chất Lượng QC Công Trình QC piping Đường ống,"353/32 Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, TP. Hồ Chí Minh",Hồ Chí Minh,Nhân viên,Thỏa thuận,Toàn thời gian cố định,"Thẩm định - Giám thẩm định - Quản lý chất lượng, Cơ khí - Chế tạo, Sản xuất - Vận hành sản xuất",nhân viên qc cơ khí,1 - 2 năm kinh nghiệm
784530,Nhân Viên Bán Hàng - Toàn Quốc,"Số 10, Đường Tân Trào, phường Tân Phú, quận 7, Tp. HCM",Hà Nội,Nhân viên,15 - 20 triệu,Toàn thời gian cố định,"Việc làm bán hàng, Nhân viên kinh doanh, Thực phẩm - Đồ uống",Nhân Viên Bán Hàng,Không yêu cầu
784529,Nhân viên Hành chính Nhân sự,P902 tòa nhà Việt Úc đường Lê Hồng Phong quận Hải An TP Hải Phòng,Hải Phòng,Nhân viên,5 - 7 triệu,Toàn thời gian cố định,"Nhân sự, Hành chính - Văn phòng",nhân viên hành chính nhân sự,Không yêu cầu
784528,tuyển dụng nhân viên it Helpdesk,25-27 Đường Trung Tâm KCN Tân Tạo Tân Tạo A Bình Tân,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"IT phần mềm, IT Phần cứng - mạng, Điện tử viễn thông",kỹ sư hệ thống mạng,1 - 2 năm kinh nghiệm
784527,Cần tuyển nhân viên kinh doanh tại Pleiku,"52 Út Tịch, thành phố Pleiku, tỉnh Gia Lai",Gia Lai,Mới Tốt Nghiệp,10 - 15 triệu,Toàn thời gian cố định,"Chăm sóc khách hàng, Nhân viên kinh doanh",nhân viên kinh doanh sàn gỗ,Không yêu cầu
784526,TRƯỞNG PHÒNG CHĂM SÓC KHÁCH HÀNG(THU NHẬP 15-20 TRIỆU ),"Tầng 3 toà C hanoi Paragon, ngõ 86 Duy Tân, quận Cầu Giấy , thành phố Hà Nội",Hà Nội,Trưởng Phòng,15 - 20 triệu,Toàn thời gian cố định,"Giáo dục - Đào tạo, Chăm sóc khách hàng",chuyên viên chăm sóc khách hàng,1 - 2 năm kinh nghiệm
784525,TRƯỞNG NHÓM NGHIÊN CỨU CHUYỂN GIAO CÔNG NGHỆ (DƯỢC PHẨM),"Lô Z01-02-03A, khu chế xuất Tân Thuận, Tân Thuận Đông, Quận 7",Hồ Chí Minh,Trưởng nhóm,15 - 20 triệu,Toàn thời gian cố định,"Y tế - Dược, Hóa học - Sinh học",xét nghiệm,2 - 5 năm kinh nghiệm
