product_id,title,authors,category,pages,manufacturer
74021317,Cây Cam Ngọt Của Tôi,José Mauro de Vasconcelos,Tiểu Thuyết,244,Nhà Xuất Bản Hội Nhà Văn
74021317,Cây Cam Ngọt Của Tôi,José Mauro de Vasconcelos,Tiểu Thuyết,244,Nhà Xuất Bản Hội Nhà Văn
184466860,Hành Tinh Của Một Kẻ Nghĩ Nhiều,Nguyễn Đoàn Minh Thư,Sách tư duy - Kỹ năng sống,184,Nhà Xuất Bản Thế Giới
73787185,Những Tù Nhân Của Địa Lý,Tim Marshall,Lĩnh vực khác,430,Nhà Xuất Bản Hội Nhà Văn
52789367,Nhà Giả Kim (Tái Bản 2020),Paulo Coelho,Tác phẩm kinh điển,228,Nhà Xuất Bản Hà Nội
167940010,Thao Túng Tâm Lý,Shannon Thomas,Sách tư duy - Kỹ năng sống,328,Nhà Xuất Bản Dân Trí
117238177,Thư Viện Nửa Đêm,Matt Haig,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,424,Nhà Xuất Bản Hội Nhà Văn
73787185,Những Tù Nhân Của Địa Lý,Tim Marshall,Lĩnh vực khác,430,Nhà Xuất Bản Hội Nhà Văn
189643105,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,Lê Bảo Ngọc,Sách tư duy - Kỹ năng sống,296,Nhà Xuất Bản Thế Giới
199216988,Càng Bình Tĩnh Càng Hạnh Phúc,Vãn Tình,Sách tư duy - Kỹ năng sống,352,Nhà Xuất Bản Thế Giới
206840682,Quyền Lực Của Địa Lý - The Power Of Geography,Tim Marshall,Sách kinh tế học,559,Nhà Xuất Bản Phụ Nữ
52788072,Chiến Binh Cầu Vồng (Tái Bản 2020),Andrea Hirata,Tiểu Thuyết,428,Nhà Xuất Bản Hội Nhà Văn
109017985,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",Cao Minh,Truyện ngắn - Tản văn - Tạp Văn,424,Nhà Xuất Bản Thế Giới
72459686,How Psychology Works - Hiểu Hết Về Tâm Lý Học,Jo Hemmings,Sách tư duy - Kỹ năng sống,247,Nhà Xuất Bản Thế Giới
117254517,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,Đặng Hoàng Giang,Truyện ngắn - Tản văn - Tạp Văn,322,Nhà Xuất Bản Hội Nhà Văn
188940817,Vị Thần Của Những Quyết Định,Universe,Sách Chiêm Tinh - Horoscope,320,Nhà Xuất Bản Thế Giới
69219919,Muôn Kiếp Nhân Sinh (Khổ Nhỏ),Nguyên Phong,Muôn Kiếp Nhân Sinh (Khổ Nhỏ),482,Nhà Xuất Bản Tổng hợp TP.HCM
52789367,Nhà Giả Kim (Tái Bản 2020),Paulo Coelho,Tác phẩm kinh điển,228,Nhà Xuất Bản Hà Nội
71345381,Thay Đổi Cuộc Sống Với Nhân Số Học,David A. Phillips,Sách tư duy - Kỹ năng sống,342,Nhà Xuất Bản Tổng hợp TP.HCM
92096344,Những Người Khốn Khổ (Boxet 2 Tập),Victor Hugo,Tác phẩm kinh điển,1672,Nhà Xuất Bản Văn Học
52785564,Dịch Hạch (Nobel Văn Chương 1957),Albert Camus,Tác phẩm kinh điển,392,Nhà Xuất Bản Dân Trí
97594364,Luật Tâm Thức - Giải Mã Ma Trận Vũ Trụ,Ngô Sa Thạch,Lĩnh vực khác,408,Nhà Xuất Bản Dân Trí
114937969,Rừng Nauy (Tái Bản),Haruki Murakami,Tiểu Thuyết,556,Nhà Xuất Bản Hội Nhà Văn
117254517,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,Đặng Hoàng Giang,Truyện ngắn - Tản văn - Tạp Văn,322,Nhà Xuất Bản Hội Nhà Văn
75953557,Tâm Lý Học Về Tiền,Morgan Housel,"Sách tài chính, tiền tệ",384,Nhà Xuất Bản Dân Trí
145288029,Xứ Cát,Frank Herbert,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,714,Nhà Xuất Bản Hội Nhà Văn
113530805,Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản),Rosie Nguyễn,Sách tư duy - Kỹ năng sống,291,Nhà Xuất Bản Hội Nhà Văn
56454897,Hiệu Sách Nhỏ Ở Paris,Nina George,Tiểu Thuyết,452,Nhà Xuất Bản Hà Nội
197657911,Tiếng Núi,Kawabata Yasunari,Tác phẩm kinh điển,384,Nhà Xuất Bản Hà Nội
70016692,Bắt Trẻ Đồng Xanh (Tái Bản 2020),Jerome David Salinger,Tiểu Thuyết,328,Nhà Xuất Bản Hội Nhà Văn
106863963,Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,Diệp Hồng Vũ,Sách tư duy - Kỹ năng sống,280,Nhà Xuất Bản Thanh Niên
127844385,Kiêu Hãnh Và Định Kiến (Tái Bản),Jane Austen,Tiểu Thuyết,362,Nhà Xuất Bản Hội Nhà Văn
54266567,Think And Grow Rich - Nghĩ Giàu Và Làm Giàu,Napoleon Hill,Bài học kinh doanh,450,Nhà Xuất Bản Tổng hợp TP.HCM
100347903,Nói Một Cách Đơn Giản,Rhee Dongwoo,Sách tư duy - Kỹ năng sống,264,Nhà Xuất Bản Hà Nội
203701754,Một Họa Sĩ Phù Thế,Kazuo Ishiguro,Tiểu Thuyết,299,Nhà Xuất Bản Văn Học
103379147,Bạch Dạ Hành (Tái Bản),Higashino Keigo,Truyện trinh thám,628,Nhà Xuất Bản Hội Nhà Văn
71990280,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ",Trương Tiếu Hằng,Sách nghệ thuật sống đẹp,450,Nhà Xuất Bản Thanh Niên
121635152,Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái),Yoo Eun Jung,Sách tư duy - Kỹ năng sống,304,Nhà Xuất Bản Dân Trí
95470626,Combo 2 Cuốn: Muôn Kiếp Nhân Sinh + Muôn Kiếp Nhân Sinh 2 (Bìa Mềm),Nguyên Phong,Combo 2 Cuốn: Muôn Kiếp Nhân Sinh + Muôn Kiếp Nhân Sinh 2 (Bìa Mềm),960,Nhà Xuất Bản Tổng hợp TP.HCM
69764541,Tâm Lý Học Hành Vi (Tặng Kèm 1 Bookmark ),Khương Nguy,Sách tư duy - Kỹ năng sống,276,Nhà Xuất Bản Hà Nội
143217512,Điềm Tĩnh Và Nóng Giận,Tạ Quốc Kế,Sách tư duy - Kỹ năng sống,224,Nhà Xuất Bản Thế Giới
